,home/away,day/night,toss,batted first,win
,0,0,0,0,win
,1,1,1,1,win
0.0,2,2,2,2,0
1.0,2,3,2,3,0
2.0,2,3,2,3,0
3.0,2,3,3,2,1
4.0,2,3,2,3,0
5.0,2,3,3,2,1
6.0,2,3,3,3,1
7.0,2,3,2,3,0
8.0,2,3,3,2,0
9.0,2,3,2,3,1
10.0,2,3,2,2,1
11.0,2,2,2,2,0
12.0,2,2,2,2,1
13.0,2,2,2,3,1
14.0,2,3,3,3,1
15.0,2,3,2,2,1
16.0,2,3,3,3,0
17.0,2,2,3,3,1
18.0,2,3,3,3,0
19.0,2,3,2,3,1
20.0,2,3,2,2,0
21.0,2,3,3,3,0
22.0,2,2,3,3,1
23.0,2,2,2,2,0
24.0,2,2,2,2,0
25.0,2,2,2,2,0
26.0,2,2,3,3,0
27.0,2,3,3,2,0
28.0,2,3,2,2,0
29.0,2,3,3,3,1
30.0,2,3,3,3,0
31.0,2,3,2,2,0
32.0,2,2,2,2,1
33.0,2,3,2,2,0
34.0,2,2,2,3,1
35.0,2,2,2,2,1
36.0,2,2,3,2,0
37.0,2,2,2,2,0
38.0,2,3,3,3,0
39.0,2,2,3,2,1
40.0,2,2,2,2,1
41.0,2,2,2,2,0
42.0,2,2,2,2,1
43.0,2,2,2,2,0
44.0,2,2,3,2,1
45.0,2,2,2,3,1
46.0,2,3,2,2,1
47.0,2,2,3,2,1
48.0,2,2,2,2,1
49.0,2,3,2,3,0
50.0,2,3,3,2,1
51.0,2,3,3,2,1
52.0,2,3,2,3,0
53.0,2,3,2,2,0
54.0,2,3,2,3,0
55.0,2,3,3,2,1
56.0,2,3,3,2,0
57.0,2,3,3,2,0
58.0,2,3,3,2,1
59.0,2,3,2,3,0
60.0,2,3,3,2,1
61.0,2,3,3,2,0
62.0,2,3,2,3,0
63.0,2,3,3,2,1
64.0,2,3,3,2,1
65.0,2,2,3,3,1
66.0,2,3,3,2,0
67.0,2,2,2,2,1
68.0,2,3,2,2,1
69.0,2,3,3,2,0
70.0,2,2,2,2,0
71.0,2,3,2,3,1
72.0,2,3,2,2,1
73.0,2,3,3,3,1
74.0,2,3,2,2,1
75.0,2,3,3,3,0
76.0,2,3,3,2,1
77.0,2,2,3,2,1
78.0,2,3,2,3,1
79.0,2,3,3,3,1
80.0,2,3,2,3,1
81.0,2,2,2,3,1
82.0,2,2,3,2,1
83.0,2,2,3,3,1
84.0,2,2,2,2,1
85.0,2,2,2,2,1
86.0,2,2,2,2,1
87.0,2,2,2,3,1
88.0,2,2,2,2,0
89.0,2,2,3,3,1
90.0,2,2,3,2,1
91.0,2,2,3,2,1
92.0,2,3,2,3,0
93.0,2,2,3,2,1
94.0,3,2,2,2,1
95.0,2,3,3,2,1
96.0,2,2,3,2,1
97.0,2,2,3,2,1
98.0,2,2,3,2,1
99.0,3,3,3,3,1
100.0,3,2,3,2,1
101.0,3,2,3,2,1
102.0,3,2,3,3,1
103.0,3,2,3,2,1
104.0,3,2,3,3,1
105.0,3,3,3,3,1
106.0,3,3,2,3,1
107.0,3,3,3,3,1
108.0,2,2,2,2,1
109.0,3,3,3,3,0
110.0,3,3,2,3,0
111.0,3,3,3,3,1
112.0,3,3,3,3,0
113.0,3,3,3,3,1
114.0,3,3,2,3,0
115.0,3,3,3,2,0
116.0,3,2,3,2,1
117.0,3,3,3,2,1
118.0,3,3,2,3,0
119.0,3,2,2,3,0
120.0,3,3,3,2,1
121.0,3,3,2,3,1
122.0,3,3,3,2,1
123.0,2,3,2,3,1
124.0,2,3,2,2,1
125.0,3,3,2,3,1
126.0,3,3,3,3,1
127.0,2,3,3,2,1
128.0,2,3,2,2,1
129.0,2,3,2,3,1
130.0,2,3,2,2,1
131.0,2,3,2,2,1
132.0,2,3,3,3,1
133.0,2,3,2,3,0
134.0,2,3,3,2,1
135.0,2,3,3,2,1
136.0,2,3,3,2,0
137.0,2,3,3,2,1
138.0,2,2,2,2,1
139.0,3,2,3,3,1
140.0,3,2,3,3,0
141.0,3,3,3,3,0
142.0,2,3,2,2,0
143.0,2,3,3,3,1
144.0,2,3,3,3,1
145.0,2,3,3,2,0
146.0,2,3,2,2,1
147.0,3,3,2,3,0
148.0,3,2,2,2,0
149.0,3,3,3,2,0
150.0,3,3,2,2,1
151.0,3,3,3,2,1
152.0,2,2,3,3,0
153.0,2,2,3,3,1
154.0,3,3,2,2,0
155.0,3,3,2,2,1
156.0,3,3,3,3,0
157.0,3,2,2,2,1
158.0,3,2,2,2,0
159.0,3,2,3,3,1
160.0,2,3,2,3,1
161.0,2,2,3,2,1
162.0,2,3,3,2,1
163.0,2,2,3,2,1
164.0,2,2,2,2,1
165.0,2,3,3,2,1
166.0,2,3,3,2,1
167.0,3,3,3,3,1
168.0,3,2,2,2,1
169.0,3,2,2,2,1
170.0,3,3,2,3,1
171.0,3,3,3,2,0
172.0,3,3,2,3,0
173.0,3,3,2,3,0
174.0,2,3,2,3,0
175.0,2,3,2,3,0
176.0,2,3,2,2,1
177.0,2,3,3,3,0
178.0,2,3,3,2,0
179.0,2,3,2,3,0
180.0,3,3,2,3,0
181.0,3,3,3,2,0
182.0,3,3,3,2,1
183.0,3,3,3,3,0
184.0,3,3,3,2,0
185.0,2,3,3,2,0
186.0,3,3,3,2,0
187.0,3,3,3,3,1
188.0,3,3,2,2,0
189.0,3,3,3,2,0
190.0,3,2,3,3,1
191.0,3,3,2,3,0
192.0,3,3,3,2,0
193.0,3,3,2,2,0
194.0,2,2,3,3,1
195.0,3,3,2,3,0
