,home/away,day/night,toss,batted first,win
0,0,0,0,0,1
1,0,0,0,0,1
2,0,0,0,1,0
3,0,0,1,1,1
4,0,0,1,0,0
5,0,0,1,1,1
6,0,0,0,1,0
7,0,0,1,1,0
8,0,0,1,0,0
9,0,0,1,0,0
10,0,0,1,0,1
11,0,0,1,0,1
12,0,1,1,0,1
13,0,1,0,1,1
14,0,1,1,0,1
15,0,1,1,0,1
16,0,1,0,1,1
17,0,1,1,0,1
18,0,1,0,1,1
19,0,1,1,0,1
20,0,1,0,1,1
21,0,0,1,0,0
22,0,0,0,0,0
23,0,0,0,0,1
24,0,0,1,1,1
25,0,0,0,0,0
26,0,0,0,0,1
27,0,0,1,1,1
28,0,0,1,0,0
29,0,0,0,1,0
30,0,0,0,1,0
31,0,0,0,1,1
32,0,1,1,0,0
33,0,1,1,1,1
34,0,1,1,1,1
35,0,1,0,1,0
36,0,1,0,1,1
37,0,1,0,0,1
38,0,1,1,0,1
39,0,1,0,1,0
40,0,1,1,0,1
41,0,0,0,1,0
42,0,0,1,1,1
43,0,0,0,0,1
44,0,0,1,0,1
45,0,0,1,1,0
46,0,0,0,1,1
47,0,0,0,0,1
48,0,0,0,0,1
49,0,0,0,0,1
50,0,0,0,1,1
51,0,0,1,0,0
52,0,1,1,1,1
53,0,0,1,1,0
54,0,1,1,0,1
55,0,0,1,1,1
56,0,1,1,0,0
57,0,1,1,1,0
58,0,0,1,0,1
59,0,0,1,0,0
60,0,1,0,0,0
61,0,1,0,0,0
62,0,0,0,0,0
63,0,1,1,0,0
64,0,1,0,1,1
65,0,0,0,1,1
66,0,0,0,1,0
67,0,0,0,0,1
68,0,0,0,0,1
69,0,0,1,1,0
70,0,0,0,1,1
71,0,0,0,0,1
72,0,0,0,1,1
73,0,0,0,0,1
74,0,0,0,0,1
75,0,0,1,0,1
76,0,0,1,0,1
77,0,0,1,0,0
78,0,1,1,0,1
79,0,1,0,1,1
80,0,1,1,0,1
81,0,1,0,1,1
82,0,1,1,0,1
83,0,0,1,0,1
84,0,1,0,1,1
85,0,1,1,0,1
86,1,0,0,0,1
87,1,0,1,1,0
88,0,0,0,1,1
89,0,0,0,0,1
90,0,0,0,1,1
91,0,0,1,1,0
92,1,0,0,1,0
93,1,0,1,0,0
94,1,0,1,1,0
95,1,0,1,0,0
96,0,1,1,1,0
97,1,0,1,0,0
98,1,1,1,0,0
99,1,1,1,0,1
100,1,1,1,0,1
101,1,1,0,0,0
102,1,0,1,1,0
103,1,0,1,0,1
104,1,0,0,1,0
105,1,0,0,1,0
106,1,0,0,1,0
107,0,1,1,0,1
108,0,1,0,0,1
109,0,0,1,1,0
110,0,1,1,0,0
111,0,1,1,0,0
112,1,1,0,1,0
113,0,1,0,1,0
114,0,1,1,0,1
115,0,1,0,1,1
116,0,1,1,0,0
117,0,1,0,1,0
118,1,1,1,0,0
119,1,1,0,1,1
120,1,1,1,1,0
121,1,1,0,1,1
122,1,1,0,1,0
123,1,1,0,1,0
124,1,1,0,1,0
125,1,1,1,0,1
126,1,1,0,1,0
127,1,1,0,1,0
128,1,1,0,1,0
129,1,1,0,0,1
130,1,0,0,0,1
131,0,0,1,1,1
132,0,0,0,1,0
133,0,0,1,1,1
134,1,0,0,0,1
135,1,0,0,0,1
136,1,0,0,0,0
137,0,0,1,1,1
138,0,0,0,1,1
139,0,0,1,1,1
140,0,0,0,0,1
141,1,0,1,1,1
142,0,0,1,0,1
143,0,0,1,0,1
144,1,0,0,0,0
145,1,0,0,0,1
146,1,0,0,1,1
147,1,0,1,0,1
148,1,1,1,0,0
149,1,0,1,1,1
150,1,0,1,1,1
151,1,0,0,0,1
152,1,0,0,0,1
153,1,0,0,0,0
154,1,0,0,0,1
155,0,0,1,1,1
156,0,0,0,0,1
157,0,0,0,1,1
158,0,0,0,0,0
159,0,0,0,0,1
160,1,0,0,1,1
161,1,0,1,1,1
162,1,0,0,0,1
163,1,0,0,0,1
164,1,0,0,1,1
165,1,1,0,1,1
166,1,0,0,0,1
167,1,0,0,0,0
168,0,0,1,1,1
169,0,0,1,1,0
170,0,0,0,0,0
171,1,0,1,0,1
172,1,0,1,0,0
173,1,0,1,1,0
174,1,0,0,0,1
175,1,0,0,0,1
176,1,0,1,1,0
177,1,0,0,1,1
178,1,0,1,1,0
179,1,0,0,1,0
180,1,0,1,0,0
181,1,1,1,0,1
182,1,1,0,1,0
183,1,1,0,1,0
184,0,1,0,0,0
185,1,0,0,1,1
186,1,1,1,0,1
187,1,0,1,1,0
188,1,0,1,0,1
189,1,0,0,1,0
190,1,1,1,0,1
191,1,1,1,0,1
192,0,0,1,1,0
193,0,0,1,1,0
194,0,0,1,1,0
195,1,1,0,1,1
196,1,1,1,0,1
197,1,0,0,1,1
198,1,1,1,0,1
199,1,1,1,0,1
200,1,1,0,1,0
201,1,1,1,0,0
202,1,1,0,1,1
203,1,1,0,1,1
204,1,1,0,1,0
205,1,1,0,1,0
206,1,1,1,0,1
207,1,0,0,0,1
208,1,0,0,1,0
209,1,1,0,1,1
210,0,0,0,1,1
211,0,1,1,1,1
212,0,1,1,1,0
213,1,1,0,1,1
214,1,1,0,1,1
215,1,1,1,1,1
216,1,1,0,1,0
